source,age_group,year,quarter,period,homeownership_rate
Census HVS,35 to 44 years,1994,Q1,1994 Q1,64.4
Census HVS,35 to 44 years,1994,Q2,1994 Q2,64.6
Census HVS,35 to 44 years,1994,Q3,1994 Q3,64.3
Census HVS,35 to 44 years,1994,Q4,1994 Q4,64.7
Census HVS,35 to 44 years,1995,Q1,1995 Q1,64.9
Census HVS,35 to 44 years,1995,Q2,1995 Q2,65.1
Census HVS,35 to 44 years,1995,Q3,1995 Q3,65.4
Census HVS,35 to 44 years,1995,Q4,1995 Q4,65.5
Census HVS,35 to 44 years,1996,Q1,1996 Q1,64.6
Census HVS,35 to 44 years,1996,Q2,1996 Q2,65.5
Census HVS,35 to 44 years,1996,Q3,1996 Q3,66.3
Census HVS,35 to 44 years,1996,Q4,1996 Q4,65.5
Census HVS,35 to 44 years,1997,Q1,1997 Q1,65.5
Census HVS,35 to 44 years,1997,Q2,1997 Q2,66.3
Census HVS,35 to 44 years,1997,Q3,1997 Q3,66.5
Census HVS,35 to 44 years,1997,Q4,1997 Q4,65.9
Census HVS,35 to 44 years,1998,Q1,1998 Q1,65.9
Census HVS,35 to 44 years,1998,Q2,1998 Q2,66.2
Census HVS,35 to 44 years,1998,Q3,1998 Q3,67.8
Census HVS,35 to 44 years,1998,Q4,1998 Q4,67.6
Census HVS,35 to 44 years,1999,Q1,1999 Q1,67.0
Census HVS,35 to 44 years,1999,Q2,1999 Q2,66.5
Census HVS,35 to 44 years,1999,Q3,1999 Q3,67.4
Census HVS,35 to 44 years,1999,Q4,1999 Q4,67.9
Census HVS,35 to 44 years,2000,Q1,2000 Q1,67.3
Census HVS,35 to 44 years,2000,Q2,2000 Q2,67.5
Census HVS,35 to 44 years,2000,Q3,2000 Q3,68.4
Census HVS,35 to 44 years,2000,Q4,2000 Q4,68.3
Census HVS,35 to 44 years,2001,Q1,2001 Q1,68.1
Census HVS,35 to 44 years,2001,Q1,2001 Q1,68.6
Census HVS,35 to 44 years,2001,Q2,2001 Q2,68.1
Census HVS,35 to 44 years,2001,Q2,2001 Q2,67.8
Census HVS,35 to 44 years,2001,Q3,2001 Q3,68.6
Census HVS,35 to 44 years,2001,Q3,2001 Q3,68.8
Census HVS,35 to 44 years,2001,Q4,2001 Q4,68.2
Census HVS,35 to 44 years,2001,Q4,2001 Q4,69.0
Census HVS,35 to 44 years,2003,Q1,2003 Q1,67.8
Census HVS,35 to 44 years,2003,Q2,2003 Q2,68.2
Census HVS,35 to 44 years,2003,Q3,2003 Q3,68.6
Census HVS,35 to 44 years,2003,Q4,2003 Q4,69.0
Census HVS,35 to 44 years,2004,Q1,2004 Q1,68.8
